Title,Link,Description,Date,Guid,length
"Agreement between the Government and the Left, Danish People's Party, Unity and the Conservativ",http://skillspanorama.cedefop.europa.eu/en/useful_resources/agreement-between-government-and-left-danish-peoples-party-unity-and-conservativ,"Agreement between the Government and the Left, Danish People&#039;s Party, Unity and the Conservativ2012Den økonomiske krise og dens eftervirkninger udgør fortsat en udfordring i bestræbelserne på at tilvejebringe et tilstrækkeligt antal praktikpladser inden for erhvervsuddannelserne og erhvervsgrunduddannelsen . Der er ca. 8.200 praktikpladssøgende elever, hvoraf ca. 4.000 er i skolepraktik. Manglen på praktikpladser betyder, at for mange unge falder fra erhvervsuddannelserne.
Agreement between the Government and the Left, Danish People's Party, Unity and the Conservativ","Mon, 05 Oct 2015 12:32:44 +0000",15116 at http://skillspanorama.cedefop.europa.eu,578
Review of apprenticeship training in Ireland,http://skillspanorama.cedefop.europa.eu/en/useful_resources/review-apprenticeship-training-ireland,"Review of apprenticeship training in Ireland2013On 19 May 2013, Ruairi Quinn T.D, Minister for Education and Skills, announced a review of apprenticeship training in Ireland. The terms of reference of the review were to determine whether the current model of apprenticeship should be retained, adapted or replaced by an alternative model of vocational education and training for apprentices – taking into account the needs of learners, the needs of employers, the needs of the economy and the need for cost effectiveness into the future. The Review Group was asked to complete its work before the end of 2013. A Technical Group was also established to provide background evaluative data for the review. To provide a context for the review, a Background Issues Paper 1was prepared by the Department of Education and Skills and published at www.education.ie in May 2013.
Review of apprenticeship training in Ireland","Mon, 05 Oct 2015 12:32:44 +0000",15117 at http://skillspanorama.cedefop.europa.eu,913
The German labour market in the year 2030,http://skillspanorama.cedefop.europa.eu/en/useful_resources/german-labour-market-year-2030,The German labour market in the year 20302013http://www.economix.org/pdf/Press_Release_02-10-2013.pdf,"Mon, 05 Oct 2015 12:32:44 +0000",15119 at http://skillspanorama.cedefop.europa.eu,101
Europe’s skill challenge: Lagging skill demand increases risks of skill mismatch,http://skillspanorama.cedefop.europa.eu/en/useful_resources/europe%E2%80%99s-skill-challenge-lagging-skill-demand-increases-risks-skill-mismatch,"Europe’s skill challenge: Lagging skill demand increases risks of skill mismatch2012The forecast takes account of global economic developments up to October 2011 and the latest Eurostat population projections. A modest economic recovery up to 2020 is forecast based on the European Commission’s short-term macroeconomic projections and assumes continued fiscal consolidation in Member States, reestablished trust in the banking sector, higher consumer confidence and economic growth outside EU. The forecasting model has been updated since 2010 using new data and has been validated by national experts.
Europe’s skill challenge Lagging skill demand increases risks of skill mismatch","Mon, 05 Oct 2015 12:32:44 +0000",15120 at http://skillspanorama.cedefop.europa.eu,683
Ireland’s construction sector: Outlook and strategic plan to 2015,http://skillspanorama.cedefop.europa.eu/en/useful_resources/ireland%E2%80%99s-construction-sector-outlook-and-strategic-plan-2015,Ireland’s construction sector: Outlook and strategic plan to 20152012http://www.forfas.ie/media/19072013-Irelands_Construction_Sector-Publication.pdf,"Mon, 05 Oct 2015 12:32:44 +0000",15121 at http://skillspanorama.cedefop.europa.eu,149
A UK strategy for agricultural technologies,http://skillspanorama.cedefop.europa.eu/en/useful_resources/uk-strategy-agricultural-technologies,A UK strategy for agricultural technologies2013http://www.britishchamber.cn/sites/default/files/13-1060_A_UK_strategy_for_agricultural_technologies.pdf,"Mon, 05 Oct 2015 12:32:44 +0000",15122 at http://skillspanorama.cedefop.europa.eu,151
Towards a job-rich recovery: entrepreneurship 2020 Action Plan (Reigniting the entrepreneurial spirit),http://skillspanorama.cedefop.europa.eu/en/useful_resources/towards-job-rich-recovery-entrepreneurship-2020-action-plan-reigniting-entrepreneurial,"Towards a job-rich recovery: entrepreneurship 2020 Action Plan 2013Since 2008 Europe has been suffering the effects of the most severe economic crisis it has seen in 50 years: for the first time in Europe there are over 25 million unemployed and in the majority of Member States small and medium-sized enterprises  have not yet been able to bounce back to their pre-crisis levels.
Before the on-going economic and financial crisis, the European economy faced structural challenges to its competitiveness and growth, and obstacles to entrepreneurship. Many of these persist, but the crisis has also been a catalyst for deep change and restructuring. The world economy has also been transformed over the last decade. Rapidly increasing demand and production in global markets has put pressure on resource and energy supplies leading to changing cost structures for Europe's companies, many of which are dependent on imports for these supplies.
The Europe 2020 Strategy responded to this by setting out the foundations for future growth and competitiveness that will be smart, sustainable and inclusive, and which would address our principal societal challenges. Correcting the problems of the past and putting the EU on a more sustainable development path for the future is a shared responsibility of the Member States and the EU Institutions. Recognising that our economies are closely intertwined, the EU is now reshaping its economic governance to ensure better policy responses to current and future challenges.
To bring Europe back to growth and higher levels of employment, Europe needs more entrepreneurs. As a follow up to the Small Business Act review of April 2011 and of the Industrial policy communication adopted last October, the proposed Action Plan sets out a renewed vision and a number of actions to be taken at both EU and Member States' level to support entrepreneurship in Europe. It is based on three pillars : developing entrepreneurial education and training; creating the right business environment; role models and reaching out to specific groups.
Towards a job-rich recovery: entrepreneurship 2020 Action Plan ","Mon, 05 Oct 2015 12:32:44 +0000",15123 at http://skillspanorama.cedefop.europa.eu,2135
Employment and social developments in Europe 2013,http://skillspanorama.cedefop.europa.eu/en/useful_resources/employment-and-social-developments-europe-2013,"Employment and social developments in Europe 20132014
Where will Europe’s new jobs come from in an increasingly competitive global economy? Will active inclusion policies support help address rising levels of poverty among those of working age? Will the improvement in the position of women on the labour market during the crisis be sustained or slip away with the recovery? Is the divisive issue of undeclared work being effectively addressed? Will all Member States progress equally, or do the weakest risk falling further behind? Have national social security systems been effective and efficient in maintaining incomes during the recession and in addressing their longer-term goals? Do we need to adapt the ways we measure economic and social progress in order to take proper account of inequalities? The report will be available in printed and electronic format in English. All the graphs and tables can be downloaded both in gif and excel format by accessing the individual chapters.
Employment and social developments in Europe 2013","Mon, 05 Oct 2015 12:32:44 +0000",15124 at http://skillspanorama.cedefop.europa.eu,1039
Special Eurobarometer 386: Europeans and their languages,http://skillspanorama.cedefop.europa.eu/en/useful_resources/special-eurobarometer-386-europeans-and-their-languages,"Special Eurobarometer 386: Europeans and their languages2012This survey was carried out by TNS Opinion &amp; Social network in the 27 Member States of the European Union between the 25th of February and the 11th of March 2012. Some 26.751 respondents from different social and demographic groups were interviewed face-to-face at home in their mother tongue on behalf of DG Education and Culture, DG for Translation and DG for Interpretation.
The methodology used is that of Eurobarometer surveys as carried out by the Directorate-General for Communication . A technical note on the manner in which interviews were conducted by the Institutes within the TNS Opinion &amp; Social network is appended as an annex to this report. Also included are the interview methods and confidence intervals3 . The findings of this survey have been analysed firstly at EU level and secondly by country.
Results have also been compared with the previous survey conducted in 20054 . There are a number of differences between this latest wave and that conducted in 2005: the questionnaire has been modified and is shorter and the wording of some questions has also altered; and in 2005 the survey was conducted in 29 countries – the 25 Member States plus Bulgaria, Romania, Turkey and Croatia. This survey includes Bulgaria and Romania  but not Croatia and Turkey.
Comparisons between the two surveys are based on EU25  and EU27. It is important to bear these changes in mind. Where appropriate a variety of socio-demographic and behavioural variables – such as respondents’ age, terminal education age, occupation, social positioning, internet usage, ability to pay household bills and degree of urbanisation – and measures based on respondents’ language learning activity and number of foreign languages spoken have been used to provide further analysis. 
Special Eurobarometer 386: Europeans and their languages","Mon, 05 Oct 2015 12:32:44 +0000",15125 at http://skillspanorama.cedefop.europa.eu,1894
Eurobarometer survey: Employers' perception of graduate employability,http://skillspanorama.cedefop.europa.eu/en/useful_resources/eurobarometer-survey-employers-perception-graduate-employability-0,"Eurobarometer survey: Employers&#039; perception of graduate employability2010In the list of the highly ranked skills, team working skills  are followed by sector-specific skills, communication skills, computer skills, being able to adapt to new situations, ability in reading/writing and analytical and problem-solving skills. Between 58% and 67% of respondents consider these skills as very important for new recruits.
Eurobarometer survey: Employers' perception of graduate employability","Mon, 05 Oct 2015 12:32:44 +0000",15126 at http://skillspanorama.cedefop.europa.eu,490
Talking world class: The impact of language skills on the UK economy,http://skillspanorama.cedefop.europa.eu/en/useful_resources/talking-world-class-impact-language-skills-uk-economy,Talking world class: The impact of language skills on the UK economy2009http://www.poliglotti4.eu/docs/Language_Rich_Europe/LRE_English_Language_Rich_Europe_-_Trends_in_Policies_and_Practices_for_Multilingualism_in_Europe.pdf,"Mon, 05 Oct 2015 12:32:44 +0000",15127 at http://skillspanorama.cedefop.europa.eu,225
